#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
-3 32.500000 22.216735 129 2.597437 12 3816 6 61 195 5.729442 22.825831 60 39.354881 12 5 9.878348 9.682491 0 1 5 29.581395 20.819154
-2 31.571429 21.731196 143 2.496892 16 3758 7 62 221 5.843367 26.421165 59 50.809932 16 10 11.237245 10.581885 0 1 6 26.279720 18.870336
-1 34.000000 21.179505 134 2.800383 14 3867 12 63 238 5.957615 28.805548 62 51.438479 14 10 10.638598 10.434584 0 1 7 28.858209 20.918517
0 33.714286 21.184322 273 2.698607 25 7570 11 62 236 5.843367 28.523737 66 52.821735 25 10 10.821050 11.670822 0 1 7 27.728938 20.640472
1 31.285714 21.062589 157 2.496892 20 3855 7 59 219 5.502580 26.142331 63 54.463190 20 10 11.463709 12.411698 0 1 6 24.554140 19.318120
2 36.000000 19.874607 135 3.005683 19 3726 11 60 216 5.615844 25.724767 60 47.638457 19 10 10.399712 10.399712 0 1 6 27.600000 19.724097
3 32.428571 20.374053 165 2.597437 15 3825 9 60 227 5.615844 27.259825 59 59.260489 15 10 12.208358 11.962131 0 1 6 23.181818 19.612696
4 32.428571 19.638571 150 2.597437 16 3668 10 59 227 5.502580 27.259825 59 56.791302 16 10 11.463709 11.463709 0 1 6 24.453333 19.981854
5 34.428571 17.597542 160 2.800383 21 3890 18 59 241 5.502580 29.228894 62 60.893529 21 10 11.463709 12.173682 0 1 7 24.312500 20.073362
6 35.142857 17.307542 167 2.902747 20 3755 20 60 246 5.615844 29.936125 59 68.036649 20 10 12.763283 12.505865 0 1 7 22.485030 19.891880
7 34.857143 18.719192 177 2.800383 17 3893 17 61 244 5.729442 29.652987 59 70.602349 17 10 13.641528 13.101382 0 1 7 21.994350 21.061518
8 38.166667 19.497151 135 3.213206 18 3776 18 62 229 5.843367 27.540087 59 51.000162 18 10 10.821050 10.189964 0 1 6 27.970370 21.133067
9 33.714286 20.182838 161 2.698607 18 3635 15 62 236 5.843367 28.523737 58 64.826675 18 10 13.280380 12.249217 0 1 7 22.577640 20.236993
10 34.571429 21.029620 172 2.800383 15 3583 15 65 242 6.187058 29.370176 57 73.425439 15 10 15.467645 13.192688 0 1 7 20.831395 21.948686
11 34.857143 20.897222 189 2.800383 20 3964 17 65 244 6.187058 29.652987 58 74.132466 20 10 15.467645 13.474138 0 1 7 20.973545 21.606494
12 34.714286 22.024106 176 2.800383 16 3866 15 66 243 6.302244 29.511540 59 70.265571 16 10 15.005342 13.101382 0 1 7 21.965909 23.331333
13 35.285714 20.727582 201 2.902747 16 4228 17 65 247 6.187058 30.077817 60 71.613850 16 10 14.731091 13.371058 0 1 7 21.034826 21.835518
14 33.857143 20.496889 149 2.698607 14 3747 13 63 237 5.957615 28.664600 56 57.329201 14 10 11.915230 10.329691 0 1 7 25.147651 22.052219
15 34.857143 18.318052 195 2.800383 17 4007 19 61 244 5.729442 29.652987 57 74.132466 17 10 14.323605 13.192688 0 1 7 20.548718 21.285638
16 37.166667 22.490121 135 3.109174 12 3687 12 65 223 6.187058 26.700360 60 49.445112 12 10 11.457515 10.399712 0 1 6 27.311111 22.829632
17 35.142857 21.477088 198 2.902747 17 4349 15 65 246 6.187058 29.936125 62 71.276489 17 10 14.731091 13.912779 0 1 7 21.964646 22.258440
18 33.714286 18.312480 183 2.698607 13 3798 17 60 236 5.615844 28.523737 55 71.309342 13 10 14.039611 12.632434 0 1 7 20.754098 20.545290
19 35.285714 17.782128 197 2.902747 14 4246 20 61 247 5.729442 30.077817 55 71.613850 14 10 13.641528 12.030889 0 1 7 21.553299 20.232994
20 35.285714 19.897698 186 2.902747 13 3999 18 64 247 6.072180 30.077817 56 71.613850 13 10 14.457572 12.297252 0 1 7 21.500000 20.384542
21 36.428571 19.144989 195 3.005683 18 4331 19 64 255 6.072180 31.214237 58 70.941449 18 10 13.800410 12.249217 0 1 7 22.210256 20.620177
22 35.142857 19.859712 186 2.902747 13 3961 17 64 246 6.072180 29.936125 56 71.276489 13 10 14.457572 12.297252 0 1 7 21.295699 20.284368
23 35.285714 20.232324 191 2.902747 17 4377 17 65 247 6.187058 30.077817 60 68.358675 17 10 14.061496 12.763283 0 1 7 22.916230 21.539038
24 34.285714 19.615696 170 2.800383 13 3869 17 62 240 5.843367 29.087695 57 66.108398 13 10 13.280380 11.993352 0 1 7 22.758824 21.522234
25 34.857143 20.427073 199 2.800383 17 4251 17 64 244 6.072180 29.652987 60 70.602349 17 10 14.457572 13.371058 0 1 7 21.361809 21.206090
26 36.142857 19.393877 182 3.005683 13 3915 18 64 253 6.072180 30.929655 56 73.642037 13 10 14.457572 12.297252 0 1 7 21.510989 20.963270
27 34.000000 20.135257 197 2.800383 15 3946 17 63 238 5.957615 28.805548 60 72.013870 15 10 14.894038 14.039611 0 1 7 20.030457 19.623592
28 32.857143 18.810548 178 2.597437 15 3597 16 60 230 5.615844 27.680350 51 69.200874 15 10 14.039611 11.522974 0 1 6 20.207865 19.544146
29 31.571429 19.047738 191 2.496892 16 3672 14 59 221 5.502580 26.421165 55 69.529381 16 10 14.480475 13.297299 0 1 6 19.225131 19.113510
30 33.000000 17.736162 185 2.698607 14 3748 17 59 231 5.502580 27.820699 52 69.551747 14 10 13.756451 11.798914 0 1 6 20.259459 19.413780
31 32.714286 17.466002 196 2.597437 15 3713 17 58 229 5.389655 27.540087 53 76.500242 15 10 14.971265 13.417574 0 1 6 18.943878 18.037430
32 31.714286 15.745424 186 2.496892 12 3444 18 54 222 4.941465 26.560718 48 73.779771 12 10 13.726291 11.890126 0 1 6 18.516129 17.433198
33 32.428571 15.600890 198 2.597437 16 3757 18 55 227 5.052973 27.259825 49 75.721736 16 10 14.036037 12.193392 0 1 6 18.974747 17.432246
34 32.142857 16.128312 186 2.597437 16 3331 15 55 225 5.052973 26.979915 47 79.352691 16 10 14.861687 12.269665 0 1 6 17.908602 17.828551
35 32.142857 17.324043 193 2.597437 16 3643 17 57 225 5.277075 26.979915 48 74.944208 16 10 14.658542 11.890126 0 1 6 18.875648 18.664618
36 30.714286 14.488560 184 2.396992 13 3090 17 51 215 4.609189 25.585763 43 79.955510 13 10 14.403717 11.690621 0 1 6 16.793478 16.229360
37 30.428571 17.003001 199 2.396992 17 3600 14 55 213 5.052973 25.308036 46 70.300099 17 10 14.036037 11.287090 0 1 6 18.090452 17.817948
38 31.285714 16.670884 180 2.496892 12 3302 16 54 219 4.941465 26.142331 48 72.617587 12 10 13.726291 11.890126 0 1 6 18.344444 18.190450
39 33.000000 16.664762 218 2.698607 15 4128 18 56 231 5.164846 27.820699 50 77.279719 15 12 14.346794 12.497793 0 1 6 18.935780 18.780370
40 32.142857 16.982584 166 2.597437 12 3345 16 55 225 5.052973 26.979915 48 67.449787 12 11 12.632434 10.701113 0 1 6 20.150602 18.224377
41 32.857143 17.907928 215 2.597437 19 4051 15 57 230 5.277075 27.680350 50 76.889860 19 12 14.658542 12.497793 0 1 6 18.841860 19.134119
42 33.714286 17.669298 180 2.698607 12 3645 17 58 236 5.389655 28.523737 52 71.309342 12 11 13.474138 11.798914 0 1 7 20.250000 20.026059
43 36.000000 19.530196 206 3.005683 16 4130 19 64 252 6.072180 30.787483 54 76.968707 16 12 15.180451 12.353662 0 1 7 20.048544 20.817925
44 34.142857 19.290476 177 2.800383 13 3714 17 61 239 5.729442 28.946580 52 72.366449 13 11 14.323605 11.798914 0 1 7 20.983051 20.636065
45 35.571429 17.935258 220 2.902747 17 4504 19 61 249 5.729442 30.361443 55 75.903607 17 12 14.323605 12.632434 0 1 7 20.472727 20.502642
46 32.714286 18.812718 173 2.597437 13 3636 16 58 229 5.389655 27.540087 51 65.571636 13 11 12.832513 10.974261 0 1 6 21.017341 20.098162
47 34.857143 17.216508 207 2.800383 20 4090 19 58 244 5.389655 29.652987 51 78.034175 20 12 14.183303 12.129446 0 1 7 19.758454 19.133894
48 33.285714 15.228866 162 2.698607 14 3377 19 53 233 4.830327 28.101657 51 70.254143 14 11 12.075816 11.522974 0 1 7 20.845679 18.076508
49 36.714286 14.498417 175 3.005683 20 4221 22 56 257 5.164846 31.499133 58 65.623194 20 12 10.760095 11.228449 0 1 7 24.120000 17.925956
50 36.000000 13.554124 174 3.005683 21 3687 23 54 252 4.941465 30.787483 55 73.303531 21 11 11.765392 12.030889 0 1 7 21.189655 16.993701
51 34.285714 14.159442 187 2.800383 16 4033 20 53 240 4.830327 29.087695 53 69.256417 16 12 11.500778 11.500778 0 1 7 21.566845 16.739258
52 33.571429 13.772199 152 2.698607 19 3207 18 52 235 4.719566 28.382958 49 67.578472 19 12 11.237061 10.451479 0 1 7 21.098684 17.486747
53 34.857143 14.749611 171 2.800383 21 3864 18 55 244 5.052973 29.652987 49 67.393151 21 12 11.484031 9.976412 0 1 7 22.596491 17.912581
54 36.500000 16.142594 149 3.005683 17 3442 18 56 219 5.164846 26.142331 50 56.831155 17 11 11.227925 9.780881 0 1 6 23.100671 18.707478
55 34.714286 17.359347 190 2.800383 19 4199 19 59 243 5.502580 29.511540 56 67.071682 19 12 12.505865 11.738286 0 1 7 22.100000 19.124949
56 35.833333 16.221556 146 2.902747 18 3348 18 55 215 5.052973 25.585763 51 58.149462 18 11 11.484031 10.475431 0 1 6 22.931507 18.022306
57 34.000000 16.673332 165 2.800383 19 3455 19 57 238 5.277075 28.805548 53 72.013870 19 12 13.192688 12.075816 0 1 7 20.939394 18.619865
58 32.000000 17.525492 138 2.597437 17 3280 16 56 224 5.164846 26.840093 52 58.348028 17 11 11.227925 10.259925 0 1 6 23.768116 18.164422
59 31.428571 17.791307 176 2.496892 20 3817 15 56 220 5.164846 26.281703 52 62.575482 20 12 12.297252 11.237061 0 1 6 21.687500 17.056692
60 31.714286 14.982984 150 2.496892 15 3059 17 52 222 4.719566 26.560718 47 66.401794 15 12 11.798914 10.429215 0 1 6 20.393333 16.841574
61 33.428571 15.954016 161 2.698607 20 3714 17 56 234 5.164846 28.242265 48 61.396228 20 12 11.227925 9.305316 0 1 7 23.068323 18.097090
62 34.571429 15.918158 133 2.800383 21 3200 16 56 242 5.164846 29.370176 49 61.187866 21 11 10.760095 9.145044 0 1 7 24.060150 18.200124
63 34.714286 18.132168 170 2.800383 19 3938 18 61 243 5.729442 29.511540 52 64.155521 19 12 12.455308 10.259925 0 1 7 23.164706 18.693722
64 34.142857 18.680995 131 2.800383 19 3406 17 60 239 5.615844 28.946580 54 55.666499 19 12 10.799701 9.502817 0 1 7 26.000000 19.910103
65 36.333333 19.353438 162 3.005683 21 4110 16 61 218 5.729442 26.003051 55 52.006102 21 12 11.458884 10.105947 0 1 6 25.370370 19.446949
66 34.333333 19.102065 127 2.800383 16 3218 12 58 206 5.389655 24.338970 50 48.677941 16 11 10.779311 8.998411 0 1 6 25.338583 18.062542
67 31.857143 18.991942 176 2.496892 18 3902 13 59 223 5.502580 26.700360 51 60.682637 18 12 12.505865 10.475431 0 1 6 22.170455 18.569110
68 33.428571 17.145238 140 2.698607 17 3231 18 57 234 5.277075 28.242265 51 61.396228 17 12 11.471902 10.019977 0 1 7 23.078571 18.411203
69 34.000000 17.639242 169 2.800383 24 3752 18 59 238 5.502580 28.805548 52 65.467154 24 12 12.505865 10.726286 0 1 7 22.201183 18.947320
70 34.000000 18.493242 152 2.800383 20 3527 16 60 238 5.615844 28.805548 53 62.620756 20 11 12.208358 10.500710 0 1 7 23.203947 19.370127
71 36.500000 17.670597 165 3.005683 22 4081 16 58 219 5.389655 26.142331 52 54.463190 22 12 11.228449 9.832429 0 1 6 24.733333 19.257154
72 35.333333 16.131405 127 2.902747 17 2909 15 54 212 4.941465 25.169312 49 57.202983 17 12 11.230602 9.976412 0 1 6 22.905512 16.579293
73 32.000000 19.625057 155 2.597437 21 3826 10 58 224 5.389655 26.840093 51 55.916861 21 12 11.228449 9.602478 0 1 6 24.683871 18.936142
74 31.142857 17.843995 129 2.496892 18 3128 11 55 218 5.052973 26.003051 52 54.173023 18 12 10.527028 9.832429 0 1 6 24.248062 17.971567
75 31.285714 17.010201 166 2.496892 20 3691 15 55 219 5.052973 26.142331 52 59.414389 20 12 11.484031 10.726286 0 1 6 22.234940 18.286514
76 32.000000 17.880556 128 2.597437 19 2854 13 57 224 5.277075 26.840093 52 61.000211 19 12 11.993352 10.726286 0 1 6 22.296875 18.565071
77 35.333333 16.858891 139 2.902747 22 3179 17 57 212 5.277075 25.169312 52 57.202983 22 12 11.993352 10.726286 0 1 6 22.870504 17.897725
78 31.857143 17.463665 124 2.496892 19 2782 15 57 223 5.277075 26.700360 51 60.682637 19 11 11.993352 10.475431 0 1 6 22.435484 17.450964
79 31.285714 17.018597 166 2.496892 22 3427 14 56 219 5.164846 26.142331 54 65.355828 22 12 12.912114 12.353662 0 1 6 20.644578 17.228449
80 31.571429 18.164779 129 2.496892 15 2905 14 58 221 5.389655 26.421165 50 60.048102 15 11 12.249217 10.225467 0 1 6 22.519380 17.881653
81 34.500000 18.839232 136 2.800383 20 3386 12 59 207 5.502580 24.477121 52 50.994001 20 12 11.463709 9.832429 0 1 6 24.897059 18.498124
82 28.142857 18.939215 164 2.199216 16 2663 7 54 197 4.941465 23.100044 48 60.789589 16 12 13.003855 11.264330 0 1 5 19.580882 17.448055
83 30.857143 17.795895 216 2.396992 16 3776 13 56 216 5.164846 25.724767 51 75.661078 16 12 15.190723 13.556440 0 1 6 17.481481 17.603914
84 31.285714 17.392234 153 2.496892 14 2489 15 56 219 5.164846 26.142331 48 81.694785 14 11 16.140143 13.376392 0 1 6 16.267974 17.067343
85 34.714286 18.053209 180 2.800383 21 3224 16 61 243 5.729442 29.511540 50 86.798647 21 12 16.851300 13.232957 0 1 7 17.911111 18.689952
86 31.714286 18.335869 152 2.496892 18 3038 14 58 222 5.389655 26.560718 50 69.896625 18 11 14.183303 11.840014 0 1 6 19.986842 18.887822
87 33.000000 18.079191 203 2.698607 21 3707 16 60 231 5.615844 27.820699 51 77.279719 21 12 15.599568 12.803304 0 1 6 18.261084 18.723443
88 33.000000 18.988718 152 2.698607 16 3260 17 61 231 5.729442 27.820699 51 66.239759 16 11 13.641528 10.974261 0 1 6 21.447368 19.456696
89 36.285714 17.227174 169 3.005683 23 3698 20 62 254 5.843367 31.071907 54 73.980731 23 12 13.912779 11.765392 0 1 7 21.881657 18.980780
90 36.714286 17.862285 158 3.005683 19 3522 15 62 257 5.843367 31.499133 56 71.588939 19 12 13.280380 11.738286 0 1 7 22.291139 21.462155
91 40.571429 17.903369 176 3.422834 26 4554 18 67 284 6.417732 35.374753 65 70.749506 26 12 12.835464 12.374116 0 1 8 25.875000 21.387025
92 39.714286 19.593835 142 3.317764 20 3792 21 69 278 6.649600 34.508886 63 66.363243 20 11 12.787693 11.456952 0 1 8 26.704225 22.589038
93 38.000000 22.077785 155 3.213206 20 4343 19 70 266 6.765971 32.784981 65 58.544610 20 12 12.082092 11.048318 0 1 8 28.019355 23.635804
94 37.285714 21.525495 137 3.109174 21 3767 16 69 261 6.649600 32.069856 61 59.388622 21 11 12.314075 10.610078 0 1 8 27.496350 22.639390
95 38.142857 22.015764 175 3.213206 21 4988 18 70 267 6.765971 32.928233 65 58.800417 21 12 12.082092 11.048318 0 1 8 28.502857 22.053668
96 38.571429 20.317882 155 3.213206 17 3856 21 68 270 6.533519 33.358437 61 69.496744 17 12 13.611498 11.936337 0 1 8 24.877419 22.139539
97 40.142857 18.255555 177 3.422834 22 4533 21 67 281 6.417732 34.941499 64 69.882999 22 12 12.835464 12.144361 0 1 8 25.610169 21.741691
98 39.000000 17.864570 155 3.317764 20 3908 21 65 273 6.187058 33.789307 58 67.578615 20 11 12.374116 10.779311 0 1 8 25.212903 22.426651
99 42.166667 20.546019 153 3.634464 24 4438 21 69 253 6.649600 30.929655 63 53.326992 24 12 11.464828 10.271750 0 1 7 29.006536 22.418625
100 35.428571 20.845398 137 2.902747 13 3696 17 65 248 6.187058 30.219590 59 58.114595 13 11 11.898189 10.581885 0 1 7 26.978102 21.582795
101 35.285714 21.285235 175 2.902747 21 4321 17 66 247 6.302244 30.077817 59 62.662119 21 12 13.129674 11.463709 0 1 7 24.691429 20.580898
102 34.714286 19.782491 134 2.800383 17 3608 17 63 243 5.957615 29.511540 58 56.752961 17 12 11.456952 10.364722 0 1 7 26.925373 19.974845
103 35.714286 19.262950 188 2.902747 18 4225 19 63 250 5.957615 30.503376 58 69.325855 18 12 13.540034 12.249217 0 1 7 22.473404 20.643487
104 37.285714 19.840178 160 3.109174 20 3703 18 66 261 6.302244 32.069856 56 69.717078 20 12 13.700530 11.227925 0 1 8 23.143750 21.640196
105 39.142857 20.787555 167 3.317764 23 4489 20 70 274 6.765971 33.933078 60 65.255919 23 12 13.011484 10.799701 0 1 8 26.880240 22.584718
106 36.285714 20.090611 150 3.005683 18 3812 18 67 254 6.417732 31.071907 59 62.143814 18 11 12.835464 11.005161 0 1 7 25.413333 22.042440
107 37.000000 20.128161 168 3.109174 23 4240 20 67 259 6.417732 31.784340 61 63.568680 23 12 12.835464 11.458884 0 1 7 25.238095 20.924535
108 34.000000 17.623037 149 2.800383 18 3394 17 60 238 5.615844 28.805548 52 65.467154 18 12 12.763283 10.726286 0 1 7 22.778523 19.235330
109 35.000000 16.186414 201 2.902747 18 4033 18 58 245 5.389655 29.794515 53 74.486288 18 12 13.474138 12.075816 0 1 7 20.064677 18.538404
110 35.142857 16.830487 153 2.902747 15 3373 19 60 246 5.615844 29.936125 49 68.036649 15 11 12.763283 9.976412 0 1 7 22.045752 18.461173
111 34.428571 16.637798 169 2.800383 22 3888 18 59 241 5.502580 29.228894 52 63.541073 22 12 11.962131 10.259925 0 1 7 23.005917 17.980429
112 33.285714 14.635713 183 2.698607 14 3193 18 54 233 4.941465 28.101657 48 82.651932 14 11 14.533720 12.589545 0 1 7 17.448087 17.037929
113 34.857143 15.578635 217 2.800383 19 3967 18 57 244 5.277075 29.652987 51 82.369407 19 12 14.658542 12.803304 0 1 7 18.281106 18.162839
114 34.428571 16.482520 184 2.800383 15 3333 18 59 241 5.502580 29.228894 49 81.191372 15 11 15.284946 12.193392 0 1 7 18.114130 18.341655
115 34.571429 18.211905 218 2.800383 18 4299 19 62 242 5.843367 29.370176 52 77.289936 18 12 15.377282 12.419910 0 1 7 19.720183 19.965559
116 33.000000 16.475089 186 2.698607 13 3380 17 57 231 5.277075 27.820699 49 77.279719 13 11 14.658542 12.193392 0 1 6 18.172043 18.502615
117 32.857143 17.979580 217 2.597437 17 4113 17 59 230 5.502580 27.680350 51 76.889860 17 12 15.284946 12.803304 0 1 6 18.953917 19.332590
118 33.857143 17.675072 182 2.698607 14 3526 17 60 237 5.615844 28.664600 52 75.433159 14 11 14.778538 12.419910 0 1 7 19.373626 19.852837
119 37.000000 17.427400 215 3.109174 20 4195 19 63 259 5.957615 31.784340 53 83.643000 20 12 15.677934 12.711386 0 1 7 19.511628 20.135555
120 35.142857 19.722566 184 2.902747 13 3668 17 64 246 6.072180 29.936125 54 78.779278 13 11 15.979422 13.003855 0 1 7 19.934783 20.633607
121 35.285714 20.055026 217 2.902747 17 4260 18 65 247 6.187058 30.077817 55 79.152150 17 12 16.281732 13.297299 0 1 7 19.631336 20.913968
122 34.285714 19.418064 181 2.800383 12 3249 17 63 240 5.957615 29.087695 51 85.552044 12 11 17.522397 13.556440 0 1 7 17.950276 20.259443
123 33.142857 18.573626 220 2.698607 18 4152 16 60 232 5.615844 27.961135 52 77.669819 18 12 15.599568 13.109905 0 1 6 18.872727 20.280806
124 31.285714 17.077255 182 2.496892 13 3000 16 55 219 5.052973 26.142331 47 81.694785 13 11 15.790542 13.036519 0 1 6 16.483516 18.041078
125 33.428571 16.689236 211 2.698607 18 3951 16 57 234 5.277075 28.242265 50 78.450736 18 12 14.658542 12.497793 0 1 7 18.725118 18.847613
126 32.000000 18.662414 179 2.597437 13 3173 16 58 224 5.389655 26.840093 49 78.941450 13 11 15.851927 12.910651 0 1 6 17.726257 18.171066
