#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
-3 18.200000 15.555063 192 1.258239 11 1582 5 50 182 4.499205 21.053640 45 131.585251 11 5 28.120033 24.721583 0 1 5 8.239583 9.228291
-2 21.400000 15.147277 213 1.531051 22 1254 6 52 214 4.719566 25.446853 47 254.468526 22 10 47.195657 41.716860 0 1 6 5.887324 6.256375
-1 23.800000 17.004705 205 1.717774 18 1445 11 58 238 5.389655 28.805548 48 205.753914 18 10 38.497538 30.574609 0 1 7 7.048780 9.268755
0 23.900000 16.250846 376 1.717774 26 1873 12 58 239 5.389655 28.946580 54 289.465797 26 10 53.896553 49.414648 0 1 7 5.763077 4.906748
1 21.200000 13.948477 240 1.531051 22 1433 10 51 212 4.609189 25.169312 45 209.744270 22 10 38.409912 32.962111 0 1 6 6.856459 8.870599
2 21.900000 14.272001 226 1.531051 23 2088 11 50 219 4.499205 26.142331 39 130.711656 23 10 22.496027 16.588818 0 1 6 10.545455 12.608938
3 22.700000 14.656398 230 1.623958 22 1573 11 52 227 4.719566 27.259825 43 194.713035 22 10 33.711184 26.721420 0 1 6 7.825871 9.207099
4 23.400000 15.272197 218 1.717774 22 1942 11 54 234 4.941465 28.242265 42 141.211325 22 10 24.707324 18.172320 0 1 7 10.167539 11.153531
5 23.600000 15.363593 229 1.717774 21 1860 12 54 236 4.941465 28.523737 43 178.273356 21 10 30.884155 23.381243 0 1 7 8.157895 8.980563
6 25.900000 16.579807 212 1.907979 19 1973 12 59 259 5.502580 31.784340 45 176.579667 19 10 30.569891 21.974741 0 1 7 9.306604 9.532732
7 25.700000 16.697605 261 1.907979 24 2736 12 59 257 5.502580 31.499133 46 157.495666 24 10 27.512902 20.316761 0 1 7 10.482759 10.859460
8 25.900000 16.561703 199 1.907979 22 1604 13 59 259 5.502580 31.784340 47 198.652125 22 10 34.391128 26.073038 0 1 7 8.060302 8.209345
9 24.800000 17.133593 221 1.812460 24 2142 12 59 248 5.502580 30.219590 49 167.886609 24 10 30.569891 24.386785 0 1 7 9.692308 9.949892
10 25.600000 18.183509 233 1.907979 18 2947 12 62 256 5.843367 31.356646 49 130.652693 18 10 24.347363 18.290088 0 1 7 12.648069 13.443115
11 25.700000 17.939064 239 1.907979 21 2466 12 61 257 5.729442 31.499133 51 157.495666 21 10 28.647210 23.045947 0 1 7 10.317992 11.143761
12 23.900000 17.108185 237 1.717774 16 2886 8 58 239 5.389655 28.946580 47 120.610749 16 10 22.456897 17.382025 0 1 7 12.177215 13.965382
13 23.300000 16.643617 257 1.717774 19 2913 9 57 233 5.277075 28.101657 46 127.734805 19 10 23.986705 18.469783 0 1 7 11.334630 13.860790
14 23.200000 13.840520 237 1.717774 17 2542 12 51 232 4.609189 27.961135 42 139.805675 17 10 23.045947 18.172320 0 1 6 10.725738 12.852486
15 22.200000 13.021521 264 1.623958 22 2834 12 48 222 4.280445 26.560718 41 132.803588 22 10 21.402226 17.642026 0 1 6 10.734848 12.433679
16 21.000000 12.345039 228 1.531051 17 2215 12 46 210 4.063352 24.892149 37 138.289719 17 10 22.574179 17.273188 0 1 6 9.714912 11.800325
17 20.800000 12.391933 249 1.439096 19 2104 13 46 208 4.063352 24.615368 38 153.846047 19 10 25.395952 20.082535 0 1 6 8.449799 11.028918
18 22.200000 13.059862 240 1.623958 19 2779 12 48 222 4.280445 26.560718 41 120.730535 19 10 19.456569 16.038206 0 1 6 11.579167 13.424867
19 21.900000 12.676356 253 1.531051 19 2517 12 47 219 4.171686 26.142331 41 145.235173 19 10 23.176033 19.602252 0 1 6 9.948617 12.117399
20 22.000000 12.577758 237 1.623958 13 2599 13 47 220 4.171686 26.281703 39 131.408513 13 10 20.858430 16.588818 0 1 6 10.966245 12.865702
21 21.200000 12.734206 254 1.531051 21 2893 12 47 212 4.171686 25.169312 40 114.405965 21 10 18.962209 15.558338 0 1 6 11.389764 13.138933
22 22.500000 13.573872 252 1.623958 14 2862 13 50 225 4.499205 26.979915 43 122.635977 14 10 20.450933 17.004540 0 1 6 11.357143 13.824848
23 21.600000 13.275541 267 1.531051 18 2813 12 48 216 4.280445 25.724767 41 128.623833 18 10 21.402226 17.642026 0 1 6 10.535581 13.082912
24 21.000000 12.553884 232 1.531051 14 2306 13 46 210 4.063352 24.892149 40 138.289719 14 10 22.574179 19.015747 0 1 6 9.939655 11.514825
25 21.000000 11.601724 265 1.531051 18 2848 12 44 210 3.847999 24.892149 37 124.460747 18 10 19.239994 15.545869 0 0 6 10.747170 11.593437
26 21.100000 10.783784 242 1.531051 16 2521 13 43 211 3.740999 25.030684 36 125.153418 16 10 18.704994 15.028413 0 0 6 10.417355 11.169773
27 21.300000 10.954908 268 1.531051 18 2827 12 43 213 3.740999 25.308036 35 126.540178 18 10 18.704994 14.513735 0 0 6 10.548507 11.304861
28 20.800000 10.721940 235 1.439096 15 2504 12 42 208 3.634464 24.615368 35 123.076838 15 10 18.172320 14.513735 0 0 6 10.655319 10.975230
29 20.500000 10.442701 259 1.439096 18 2563 11 41 205 3.528405 24.200917 34 134.449539 18 10 19.602252 15.557682 0 0 6 9.895753 10.545761
30 21.100000 10.163169 245 1.531051 17 2522 11 41 211 3.528405 25.030684 34 125.153418 17 10 17.642026 14.001914 0 0 6 10.293878 10.550721
31 21.200000 10.293687 271 1.531051 19 2706 12 42 212 3.634464 25.169312 33 139.829513 19 10 20.191466 14.992260 0 0 6 9.985240 10.413223
32 21.900000 11.103603 244 1.531051 15 2661 14 44 219 3.847999 26.142331 36 130.711656 15 10 19.239994 15.028413 0 0 6 10.905738 11.583063
33 21.400000 10.873822 260 1.531051 20 2655 14 43 214 3.740999 25.446853 36 127.234263 20 10 18.704994 15.028413 0 0 6 10.211538 10.871516
34 20.400000 10.180373 238 1.439096 15 2341 13 41 204 3.528405 24.062961 36 133.683118 15 10 19.602252 16.698237 0 0 6 9.836134 10.418271
35 19.900000 9.730879 268 1.348141 15 2592 12 39 199 3.317764 23.374663 36 129.859240 15 10 18.432020 16.698237 0 0 5 9.671642 9.402505
36 21.400000 10.200000 237 1.531051 16 2348 13 42 214 3.634464 25.446853 32 141.371403 16 10 20.191466 14.430205 0 0 6 9.907173 10.121614
37 21.400000 10.442222 270 1.531051 21 2881 13 42 214 3.634464 25.446853 37 127.234263 21 10 18.172320 15.545869 0 0 6 10.670370 10.974999
38 22.800000 11.285389 234 1.623958 13 2606 14 47 228 4.171686 27.399912 37 124.545055 13 10 18.962209 14.132608 0 1 6 11.136752 11.475657
39 22.300000 12.174153 300 1.623958 19 3249 14 47 223 4.171686 26.700360 39 133.501802 19 12 20.858430 16.588818 0 1 6 10.830000 11.928723
40 21.900000 11.121601 247 1.531051 14 2515 14 44 219 3.847999 26.142331 37 130.711656 14 11 19.239994 15.545869 0 0 6 10.182186 11.262205
41 22.500000 11.884864 283 1.623958 23 3022 13 47 225 4.171686 26.979915 40 134.899574 23 12 20.858430 17.114172 0 1 6 10.678445 11.890807
