#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
-1715114 14.000000 0.000000 2 0.910437 3 14 14 14 14 0.910437 0.910437 7 6.503125 3 4 6.503125 2.592857 0 0 0 7.000000 0.000000
-1715112 13.000000 0.000000 1 0.826835 2 2 13 13 13 0.826835 0.826835 2 20.670869 2 7 20.670869 1.500000 0 0 0 2.000000 0.000000
-6 18.000000 0.000000 1 1.258239 1 12 18 18 18 1.258239 1.258239 12 5.242662 1 5 5.242662 3.103211 0 0 0 12.000000 0.000000
-3 52.411765 133.148329 83 4.719566 0 1697 7 584 891 81.152320 131.335559 142 328.338897 0 3 202.880799 39.309574 1 20 32 20.445783 11.012865
-2 86.555556 179.032654 321 8.664269 12 6180 11 593 1558 82.584181 247.058129 210 650.152972 12 8 217.326791 65.505657 2 20 61 19.252336 8.701445
-1 94.388889 179.184616 499 9.636542 22 10465 13 604 1699 84.337939 272.360066 219 680.900164 22 10 210.844847 65.355828 2 21 68 20.971944 9.423418
0 96.277778 179.581243 789 9.881785 27 16298 17 605 1733 84.497571 278.497032 312 696.242580 27 10 211.243928 98.620401 2 21 69 20.656527 9.268145
1 93.611111 176.382835 410 9.514238 20 8336 17 592 1685 82.424949 269.837019 238 674.592548 20 10 206.062373 72.013870 2 20 67 20.331707 8.368770
2 95.000000 181.354165 656 9.759058 25 14008 18 608 1710 84.976666 274.344079 305 653.200187 25 10 202.325396 91.487886 2 21 68 21.353659 10.127988
3 94.333333 180.139144 259 9.636542 20 5222 19 609 1698 85.136431 272.179771 214 680.449428 20 10 212.841076 63.617132 2 21 68 20.162162 8.982005
4 99.833333 192.182277 558 10.251207 23 11698 19 643 1797 90.587612 290.084958 275 725.212394 23 10 226.469030 85.192303 2 22 72 20.964158 8.833717
5 98.777778 192.575110 410 10.127862 21 8902 18 644 1778 90.748495 286.639960 310 682.476094 21 10 216.067845 93.227333 2 22 71 21.712195 10.800185
6 98.388889 194.452547 502 10.127862 21 10850 17 648 1771 91.392336 285.371771 307 679.456598 21 10 217.600800 92.183200 2 22 71 21.613546 10.705681
7 99.944444 197.610299 289 10.251207 20 6102 15 661 1799 93.488214 290.447823 292 691.542437 20 10 222.590987 86.983752 2 23 72 21.114187 9.918916
8 101.555556 200.949751 453 10.498503 19 10089 13 671 1828 95.103914 295.714350 306 672.078069 19 10 216.145258 87.661126 2 23 73 22.271523 10.459594
9 102.666667 200.557279 473 10.622448 25 10324 16 672 1848 95.265648 299.351808 331 712.742400 25 10 226.822972 100.574253 2 23 74 21.826638 9.374044
10 102.277778 198.045395 736 10.622448 23 16227 20 663 1841 93.811114 298.078203 338 677.450461 23 10 213.207076 98.354007 2 23 74 22.047554 11.703733
11 100.777778 197.347284 364 10.374755 20 8728 20 660 1814 93.326810 293.170731 333 637.327677 20 10 202.884370 92.470609 2 23 73 23.978022 12.441492
12 102.166667 198.772413 562 10.622448 21 12380 23 664 1839 93.972608 297.714414 335 676.623667 21 10 213.574110 97.345488 2 23 74 22.028470 11.200815
13 102.444444 198.520982 410 10.622448 20 9418 19 664 1844 93.972608 298.623969 310 678.690838 20 10 213.574110 88.989727 2 23 74 22.970732 10.741945
14 102.944444 202.758606 473 10.622448 22 10682 19 677 1853 96.074767 300.261851 314 682.413297 22 10 218.351742 90.320675 2 24 75 22.583510 11.599824
15 102.388889 202.601453 531 10.622448 25 12086 19 675 1843 95.751030 298.442036 317 678.277354 25 10 217.615978 91.320408 2 23 74 22.760829 12.689143
16 100.222222 194.914955 421 10.374755 20 10071 17 651 1804 91.875541 291.355182 317 633.380831 20 10 199.729437 87.349955 2 22 72 23.921615 12.349081
17 100.166667 194.958756 505 10.374755 25 11973 16 652 1803 92.036671 291.173688 328 632.986279 25 10 200.079719 90.866737 2 23 72 23.708911 12.390208
18 99.166667 195.848936 475 10.251207 21 9989 16 653 1785 92.197831 287.908699 323 685.496903 21 10 219.518646 97.767719 2 23 71 21.029474 12.297846
19 99.333333 200.135510 480 10.251207 22 10096 16 666 1788 94.295689 288.452613 314 686.791936 22 10 224.513544 94.621660 2 23 72 21.033333 11.763952
20 100.000000 196.865436 487 10.374755 19 10923 18 657 1800 92.842779 290.629273 312 660.521075 19 10 211.006317 89.654910 2 23 72 22.429158 11.464910
21 99.333333 195.356938 374 10.251207 21 8487 13 652 1788 92.036671 288.452613 320 655.574120 21 10 209.174252 92.321431 2 23 72 22.692513 11.682937
22 99.333333 193.389647 577 10.251207 24 12975 17 647 1788 91.231329 288.452613 331 655.574120 24 10 207.343930 96.002696 2 22 72 22.487002 11.676915
23 98.277778 192.346275 350 10.127862 21 7931 18 642 1769 90.426760 285.009533 315 647.748939 21 10 205.515364 90.653775 2 22 71 22.660000 11.058099
24 97.888889 189.288988 549 10.004721 21 12685 20 634 1762 89.141073 283.742056 326 616.830558 21 10 193.784941 90.226113 2 22 70 23.105647 11.112594
25 99.277778 193.727990 453 10.251207 23 10732 19 647 1787 91.231329 288.271297 320 626.676733 23 10 198.328976 88.307455 2 22 72 23.690949 10.506251
26 97.277778 191.248473 423 10.004721 17 9057 15 639 1751 89.944393 281.751432 313 670.836743 17 10 214.153316 94.272849 2 22 70 21.411348 10.105873
27 98.444444 194.384276 507 10.127862 20 11473 15 648 1772 91.392336 285.552907 319 648.983880 20 10 207.709854 91.987614 2 22 71 22.629191 11.417856
28 97.500000 193.673623 466 10.004721 19 9627 17 645 1755 90.909409 282.475136 321 706.187840 19 10 227.273521 101.920928 2 22 70 20.658798 11.399378
29 101.411765 199.324170 458 10.498503 20 9592 19 648 1724 91.392336 276.871232 323 692.178079 20 10 228.480840 102.656105 2 22 69 20.943231 12.652263
30 95.111111 192.249516 483 9.759058 19 9100 16 639 1712 89.944393 274.704961 307 763.069335 19 10 249.845535 107.547066 2 22 68 18.840580 12.274359
31 94.333333 190.393452 443 9.636542 18 8581 14 633 1698 88.980503 272.179771 312 716.262556 18 10 234.159219 103.810948 2 22 68 19.370203 11.024423
32 93.000000 188.036639 462 9.514238 16 8135 13 631 1674 88.659459 267.856257 307 787.812520 16 10 260.763115 113.873364 2 22 66 17.608225 11.034586
33 91.166667 182.304461 446 9.270278 23 8296 15 607 1641 84.816935 261.922682 301 727.563006 23 10 235.602597 105.115657 2 21 65 18.600897 11.467732
34 90.611111 181.952112 550 9.148627 21 10353 15 605 1631 84.497571 260.127237 307 722.575659 21 10 234.715475 107.547066 2 21 65 18.823636 11.688525
35 90.833333 183.285221 420 9.148627 20 8479 14 610 1635 85.296228 260.845269 301 652.113171 20 10 213.240569 94.604091 2 21 65 20.188095 11.887182
36 92.666667 183.676648 518 9.392150 17 10232 16 612 1668 85.615920 266.776450 301 702.043289 17 10 225.305053 99.583254 2 21 66 19.752896 11.165340
37 92.222222 185.254046 429 9.392150 22 9077 14 616 1660 86.255697 265.337379 302 631.755664 22 11 205.370707 90.446086 2 21 66 21.158508 11.188074
38 91.388889 185.187634 519 9.270278 19 9409 15 615 1645 86.095704 262.641202 305 729.558894 19 10 239.154733 106.735866 2 21 65 18.129094 12.000992
39 92.333333 181.361211 467 9.392150 22 9239 17 605 1662 84.497571 265.697074 300 699.202827 22 12 222.362029 99.199956 2 21 66 19.783726 11.320062
40 90.833333 181.689372 486 9.148627 21 8145 17 605 1635 84.497571 260.845269 304 815.141464 21 12 264.054910 119.621857 2 21 65 16.759259 10.671376
41 91.000000 180.597158 458 9.270278 22 8821 15 602 1638 84.018773 261.383920 305 687.852422 22 12 221.102035 101.118189 2 21 65 19.259825 11.658166
42 91.111111 180.367492 497 9.270278 22 8973 17 603 1640 84.178340 261.743083 297 727.064119 22 11 233.828721 103.498401 2 21 65 18.054326 11.610161
43 91.888889 176.287294 477 9.270278 25 9459 18 600 1654 83.699741 264.258581 296 695.417319 25 12 220.262476 97.668524 2 20 66 19.830189 11.069179
44 91.777778 173.444694 499 9.270278 24 10386 21 584 1652 81.152320 263.899079 311 659.747697 24 11 202.880799 98.254470 2 20 65 20.813627 11.443655
45 90.611111 172.428452 390 9.148627 20 8450 20 580 1631 80.516825 260.127237 302 619.350565 20 12 191.706726 90.446086 2 20 65 21.666667 11.333937
