#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
-1715113 75.000000 0.000000 1 7.352033 3 65 75 75 75 7.352033 7.352033 65 5.655410 3 7 5.655410 4.759276 1 1 1 65.000000 0.000000
-1715112 216.000000 146.000000 3 25.724767 6 163 70 362 432 46.844541 57.428337 106 53.174386 6 7 43.374575 10.296456 6 11 14 54.333333 3.771236
-5 77.000000 77.000000 2 7.588351 1 145 0 154 154 17.301627 17.301627 145 5.966078 1 8 5.966078 5.557394 1 4 4 145.000000 0.000000
-2 1338.666667 1517.697049 385 208.099690 11 59923 0 3721 24096 654.828855 5140.658734 4347 1567.274004 11 5 199.642944 237.350757 52 163 1285 164.172603 45.769827
-1 1333.388889 1503.722645 429 207.222262 17 67021 0 3687 24001 648.168676 5118.495152 4327 1589.594768 17 9 201.294620 240.537149 51 162 1279 161.496386 45.969077
0 1331.055556 1494.572755 828 206.871396 28 129226 0 3668 23959 644.449539 5108.698912 4857 1567.085556 28 10 197.683908 270.129500 51 161 1277 163.784537 44.746453
1 1298.500000 1456.236292 395 201.090852 19 61199 0 3583 23373 627.835541 4972.172810 4142 1534.621238 19 10 193.776401 227.714642 50 156 1243 162.763298 44.748943
2 1302.388889 1460.355670 469 201.790638 18 70395 0 3574 23443 626.078756 4988.466078 4346 1578.628506 18 10 198.126189 246.301074 50 156 1247 158.191011 48.336479
3 1299.666667 1453.589045 424 201.265775 18 64784 0 3544 23394 620.226088 4977.060351 4113 1575.019098 18 10 196.274078 231.661997 50 155 1244 158.784314 47.130842
4 1290.888889 1442.261222 439 199.692018 21 67779 0 3523 23236 616.132239 4940.296702 4177 1563.385032 21 10 194.978557 235.674904 49 154 1235 158.733021 47.093647
5 1275.722222 1419.785266 420 197.071885 21 63899 0 3467 22963 605.227590 4876.825425 4097 1543.299185 21 10 191.527718 230.659751 49 151 1219 158.165842 51.116734
6 1289.388889 1424.809427 397 199.517234 22 63026 0 3495 23209 610.677671 4934.016452 4140 1504.273309 22 10 186.182217 224.816831 49 152 1233 164.989529 47.218329
7 1288.555556 1426.503192 441 199.342465 22 68030 0 3491 23194 609.898813 4930.527696 4071 1531.219781 22 10 189.409569 224.764270 49 152 1232 161.591449 48.364160
8 1289.611111 1427.692900 454 199.517234 19 69533 0 3487 23213 609.120046 4934.946820 4153 1513.787368 19 10 186.846640 226.986223 49 152 1233 163.223005 46.734487
9 1280.000000 1418.481308 390 197.944873 21 60255 0 3472 23040 606.200488 4894.721041 3975 1501.448172 21 10 185.951070 216.189312 49 151 1223 163.292683 46.125679
10 1273.388889 1407.284546 442 196.722800 21 67432 0 3461 22921 604.060303 4867.066355 4121 1511.511290 21 10 187.596367 227.837244 49 151 1216 161.320574 51.704697
11 1261.722222 1394.899790 457 194.629611 22 68850 0 3431 22711 598.226994 4818.294151 3946 1524.776630 22 10 189.312340 221.220753 48 149 1204 158.640553 52.023699
12 1255.055556 1385.191783 456 193.583872 18 68677 0 3403 22591 592.787304 4790.441734 3914 1497.013042 18 10 185.246033 216.484772 48 148 1197 160.460280 51.332805
13 1256.388889 1386.526120 438 193.758122 20 65927 0 3401 22615 592.398931 4796.011200 3913 1527.392102 20 10 188.662080 220.558689 48 148 1199 157.720096 53.033262
14 1242.777778 1381.759770 450 191.320076 18 64647 0 3408 22370 593.758341 4739.180275 3900 1558.940880 18 10 195.315244 226.971679 47 148 1184 152.469340 53.263576
15 1240.777778 1380.887539 455 190.972040 20 65977 0 3391 22334 590.457417 4730.834117 3867 1576.944706 20 10 196.819139 227.832793 47 147 1182 150.632420 54.000208
16 1240.944444 1377.452176 481 190.972040 19 70743 0 3370 22337 586.382160 4731.529586 3890 1546.251499 19 10 191.628157 224.844762 47 146 1182 153.789130 53.283584
17 1226.777778 1365.032419 434 188.537604 23 64079 0 3335 22082 579.595889 4672.443609 3783 1536.988029 23 10 190.656542 219.404554 47 144 1168 152.569048 52.707436
18 1219.666667 1351.977893 423 187.321582 20 61132 0 3300 21954 572.816965 4642.806925 3791 1527.239120 20 9 188.426633 219.921214 46 143 1160 152.448878 54.556594
19 1221.388889 1351.837726 487 187.668935 22 72429 0 3305 21985 573.784930 4649.983193 3850 1529.599735 22 10 188.745043 223.734998 46 143 1162 152.803797 52.629722
20 1210.666667 1345.987907 473 185.759308 21 67587 0 3311 21792 574.946688 4605.319407 3803 1545.409197 21 10 192.935130 225.139965 46 143 1151 149.860310 52.542248
21 1212.500000 1346.135302 420 186.106365 21 63250 0 3306 21825 573.978541 4612.953805 3770 1507.501244 21 10 187.574687 217.136688 46 143 1153 153.147700 52.827234
22 1209.944444 1337.117899 429 185.585805 20 61639 0 3283 21779 569.527018 4602.312191 3788 1513.918484 20 9 187.344414 219.727453 46 142 1150 152.571782 54.764006
23 1208.333333 1336.473469 471 185.412318 23 70068 0 3286 21750 570.107469 4595.604345 3773 1521.723293 23 10 188.777308 220.207619 46 142 1148 151.662338 52.899957
24 1218.944444 1354.563090 505 187.147931 20 72914 0 3324 21941 577.464575 4639.797783 3889 1536.356882 20 10 191.213435 227.757651 46 144 1159 151.588358 53.035439
25 1221.888889 1358.239747 442 187.668935 20 62920 0 3341 21994 580.758730 4652.066789 3769 1561.096238 20 10 194.885480 222.900009 46 145 1163 149.099526 54.071872
26 1229.555556 1369.306890 466 189.059001 18 67027 0 3374 22132 587.158198 4684.024474 3851 1540.797524 18 10 193.144144 223.799690 47 146 1171 152.334091 52.599298
27 1243.944444 1387.346687 447 191.494118 19 65309 0 3399 22391 592.010581 4744.049403 3838 1581.349801 19 10 197.336860 225.931613 47 148 1186 150.829099 53.285049
28 1259.277778 1405.483499 492 194.280968 21 71004 0 3460 22667 603.865775 4808.080122 3932 1581.605303 21 10 198.640058 229.045371 48 150 1202 152.042827 53.242067
29 1256.222222 1415.399965 440 193.758122 18 62934 0 3468 22612 605.422158 4795.314989 3890 1642.231161 18 10 207.336356 235.624990 48 151 1198 146.358140 54.050899
30 1260.722222 1426.379559 454 194.455282 23 63758 0 3480 22693 607.757425 4814.115479 3963 1648.669684 23 10 208.136104 240.551343 48 151 1203 146.233945 53.169931
31 1264.000000 1426.687383 441 195.152695 20 63378 0 3475 22752 606.784296 4827.813304 3951 1653.360720 20 10 207.802841 239.740894 48 151 1206 146.369515 53.597828
32 1272.333333 1440.297616 495 196.548281 19 70171 0 3513 22902 614.183666 4862.652043 4040 1665.291796 19 10 210.336872 245.757611 49 153 1215 146.801255 53.510921
33 1269.500000 1435.943679 418 196.024818 20 58248 0 3497 22851 611.067135 4850.804661 3911 1672.691262 20 10 210.712805 238.675973 49 152 1212 145.256858 52.117662
34 1252.277778 1413.247002 462 193.061218 21 64960 0 3446 22541 601.142995 4778.840319 4058 1614.473081 21 10 203.088850 243.638602 48 150 1194 148.310502 52.384680
35 1245.388889 1408.894608 443 191.842250 25 60422 0 3429 22417 597.838292 4750.078392 3975 1684.424962 25 10 211.999394 249.920978 47 149 1187 141.503513 54.133081
36 1255.833333 1416.323458 506 193.583872 22 70474 0 3448 22605 601.531894 4793.690527 4086 1641.674838 22 10 206.004073 248.872657 48 150 1198 146.211618 53.526827
37 1257.611111 1423.848429 439 193.932388 22 60936 0 3473 22637 606.395085 4801.116991 3969 1678.712235 22 10 212.026254 246.011695 48 151 1200 143.042254 54.443433
38 1272.222222 1438.614826 486 196.548281 18 69610 0 3502 22900 612.040894 4862.187397 4152 1642.630877 18 11 206.770572 249.924633 49 153 1215 148.739316 52.695874
39 1267.222222 1435.177285 410 195.675922 22 56197 0 3506 22810 612.820004 4841.281945 3915 1716.766647 22 10 217.312058 245.726335 48 153 1210 141.911616 54.546058
40 1256.833333 1421.490816 528 193.758122 19 71661 0 3453 22623 602.504243 4797.867802 4026 1677.576154 19 12 210.665819 249.946143 48 150 1199 143.322000 53.917514
41 1245.166667 1410.208781 442 191.842250 21 60954 0 3428 22413 597.643951 4749.150816 3900 1684.096034 21 11 211.930479 244.678689 47 149 1187 141.753488 54.139911
42 1252.222222 1411.120814 494 193.061218 17 69105 0 3426 22540 597.255284 4778.608314 4083 1625.376977 17 12 203.148056 246.977765 48 149 1194 147.031915 53.639270
43 1254.777778 1420.426092 456 193.409638 20 62478 0 3441 22586 600.170849 4789.281493 4001 1674.573949 20 12 209.849947 248.219808 48 150 1197 143.298165 53.504078
44 1256.055556 1425.168118 521 193.758122 21 70596 0 3444 22609 600.754120 4794.618786 4072 1688.246051 21 12 211.533141 254.908003 48 150 1198 142.330645 53.079668
45 1243.777778 1409.686867 444 191.494118 24 60808 0 3414 22388 594.923778 4743.353789 3970 1670.194996 24 12 209.480203 247.813634 47 148 1185 142.407494 53.519877
46 1249.944444 1420.769411 504 192.538707 24 67847 0 3447 22499 601.337442 4769.096845 4077 1691.169094 24 12 213.240228 257.066561 48 150 1192 141.347917 53.460751
47 1254.000000 1416.388404 444 193.409638 24 62149 0 3436 22572 599.198849 4786.032936 3979 1661.816992 24 12 208.055156 244.988332 48 149 1196 144.532558 53.321906
48 1267.611111 1430.061698 488 195.675922 22 70381 0 3468 22817 605.422158 4842.907670 4128 1603.611811 22 12 200.470913 243.384832 48 151 1210 151.683190 48.544381
49 1267.277778 1425.880968 416 195.675922 20 60233 0 3459 22811 603.671253 4841.514189 4010 1613.838063 20 11 201.223751 237.228576 48 150 1210 150.206983 52.108074
50 1261.444444 1419.777495 497 194.629611 24 70207 0 3447 22706 601.337442 4817.133380 4187 1616.487712 24 12 201.791088 250.575788 48 150 1204 149.695096 50.504774
51 1264.555556 1421.601414 410 195.152695 21 60307 0 3443 22762 600.559690 4830.135272 4047 1599.382541 21 12 198.860825 238.078051 48 150 1207 151.906801 50.580946
52 1263.222222 1424.076174 488 194.978318 18 70130 0 3471 22738 606.005897 4824.562695 4157 1629.919829 18 12 204.731722 250.259402 48 151 1206 148.266385 51.232349
53 1260.055556 1417.814338 427 194.455282 21 63232 0 3455 22681 602.893224 4811.329856 4102 1562.120083 21 12 195.744553 236.972207 48 150 1202 154.224390 48.877082
54 1270.333333 1431.860018 463 196.199290 20 67238 0 3493 22866 610.288231 4854.288949 4225 1628.956023 20 12 204.794708 253.106098 49 152 1213 149.750557 51.967226
55 1286.722222 1448.285607 441 198.992973 22 63339 0 3536 23161 618.666232 4922.853115 4140 1619.359577 22 11 203.508629 242.565528 49 154 1230 152.624096 50.634513
56 1318.777778 1481.066453 479 204.592236 21 72986 0 3610 23738 633.108603 5057.176348 4334 1600.372262 21 12 200.350824 245.545162 51 158 1264 158.321041 47.671428
57 1327.333333 1488.792613 401 206.169844 20 61309 0 3620 23892 635.062615 5093.074625 4190 1591.585820 20 12 198.457067 233.534652 51 158 1273 160.075718 46.628771
58 1327.833333 1491.724403 460 206.169844 25 69382 0 3635 23901 637.994670 5095.173192 4429 1633.068331 25 12 204.485471 254.759988 51 159 1273 156.618510 50.276404
59 1323.222222 1484.588703 412 205.468534 20 62555 0 3621 23818 635.258047 5075.822318 4176 1596.170540 20 12 199.766681 234.130316 51 158 1268 159.173028 47.129194
60 1346.388889 1508.643693 428 209.504351 19 68298 0 3698 24235 650.322757 5173.101044 4425 1586.840811 19 12 199.485508 243.574647 52 162 1293 163.002387 47.296430
61 1357.222222 1523.332989 427 211.437311 20 66816 0 3727 24430 656.004828 5218.640490 4309 1620.695804 20 11 203.728207 239.424977 52 164 1304 161.782082 45.052630
62 1367.944444 1531.921831 469 213.196096 21 75134 0 3763 24623 663.064707 5263.743519 4604 1595.073794 21 12 200.928699 251.462249 53 165 1315 165.129670 46.302383
63 1367.277778 1525.931220 396 213.196096 23 60270 0 3734 24611 657.377039 5260.938301 4323 1644.043219 23 12 205.430325 241.791772 53 164 1315 160.720000 49.555884
64 1372.500000 1531.548499 481 214.076037 21 76789 0 3762 24705 662.868506 5282.915636 4566 1610.645011 21 12 202.094057 250.676685 53 165 1320 164.783262 47.122139
65 1368.111111 1527.157995 402 213.372055 23 62240 0 3746 24626 659.730013 5264.444842 4370 1614.860381 23 12 202.371170 240.211886 53 164 1316 163.359580 47.917518
66 1371.666667 1533.945059 478 213.900020 23 74823 0 3765 24690 663.457126 5279.408134 4621 1609.575651 23 12 202.273514 254.033566 53 165 1319 164.446154 46.483612
67 1380.888889 1541.568858 398 215.484701 23 62185 0 3767 24856 663.849565 5318.234616 4407 1621.412993 23 12 202.393160 240.995145 53 165 1329 164.076517 46.422426
68 1385.555556 1543.045590 482 216.365588 25 77605 0 3768 24940 664.045793 5337.890209 4570 1579.257458 25 12 196.463252 243.496997 54 166 1334 169.074074 43.209564
69 1308.470588 1549.406001 393 202.840779 23 64398 0 3765 22244 663.457126 4709.973802 4377 1393.483373 23 12 196.289090 232.096220 50 165 1177 169.468421 42.397450
70 1392.777778 1553.971455 420 217.599435 24 68526 0 3813 25070 672.881509 5368.320728 4525 1588.260570 24 12 199.077370 240.834397 54 168 1342 169.618812 42.898086
71 1399.166667 1569.753316 380 218.833986 23 61099 0 3864 25185 682.908155 5395.251274 4396 1615.344693 23 10 204.463520 236.009387 54 170 1348 167.394521 44.422109
72 1414.000000 1592.667678 436 221.481807 22 70775 0 3907 25452 691.372463 5457.817393 4724 1624.350414 22 12 205.765614 254.132436 55 172 1364 168.511905 44.071558
73 1420.000000 1599.655171 446 222.541829 24 72531 0 3962 25560 702.212684 5483.140982 4565 1651.548489 24 11 211.509845 247.596222 55 175 1370 166.737931 42.611588
74 1428.000000 1611.720302 421 223.955979 25 68866 0 3980 25704 705.763720 5516.919958 4749 1661.722879 25 12 212.579434 258.706361 55 176 1379 166.745763 44.340972
